subject,body,label
job posting - apple-iss research center,"content - length : 3386 apple-iss research center a us $ 10 million joint venture between apple computer inc . and the institute of systems science of the national university of singapore , located in singapore , is looking for : a senior speech scientist - - - - - - - - - - - - - - - - - - - - - - - - - the successful candidate will have research expertise in computational linguistics , including natural language processing and * * english * * and * * chinese * * statistical language modeling . knowledge of state-of - the-art corpus-based n - gram language models , cache language models , and part-of - speech language models are required . a text - to - speech project leader - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - the successful candidate will have research expertise expertise in two or more of the following areas : computational linguistics , including natural language parsing , lexical database design , and statistical language modeling ; text tokenization and normalization ; prosodic analysis . substantial knowledge of the phonology , syntax , and semantics of chinese is required . knowledge of acoustic phonetics and / or speech signal processing is desirable . both candidates will have a phd with at least 2 to 4 years of relevant work experience , or a technical msc degree with at least 5 to 7 years of experienc e . very strong software engineering skills , including design and implementation , and productization are required in these positions . knowledge of c , c + + and unix are preferred . a unix & c programmer - - - - - - - - - - - - - - - - - - - - we are looking for an experienced unix & c programmer , preferably with good industry experience , to join us in breaking new frontiers . strong knowledge of unix tools ( compilers , linkers , make , x - windows , e - mac , . . . ) and experience in matlab required . sun and silicon graphic experience is an advantage . programmers with less than two years industry experience need not apply . these positions include interaction with scientists in the national university of singapore , and with apple 's speech research and productization efforts located in cupertino , california . attendance and publication in international scientific / engineering conferences is encouraged . benefits include an internationally competitive salary , housing subsidy , and relocation expenses . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ send a complete resume , enclosing personal particulars , qualifications , experience and contact telephone number to : mr jean - luc lebrun center manager apple - iss research center , institute of systems science heng mui keng terrace , singapore 0511 tel : ( 65 ) 772-6571 fax : ( 65 ) 776-4005 email : jllebrun @ iss . nus . sg
",0
fulbright announcement : please post / disseminate to lists,"fulbright announcement : please post / disseminate to lists subject fulbright scholar program competition for 1996-97 : fulbright chairs in western europe and canada action : submissions due may 1 , 1995 info : dr . karen adams or ms . margo cunniffe council for international exchange of scholars 3007 tilden street , n . w . , suite 5m washington , dc 20008-3009 telephone : 202-686 - 6245 or 202 / 686-6242 fax : 202-362 - 3442 internet : we1 @ ciesnet . cies . org * * * * * * * * * * * * * * * * * * * * award descriptions : 1 . italy : venice chair department of philosophy and theory of sciences , university of venice . three months , between 2 / 97 and 6 / 97 . specialty : philosophy of language or theoretical linguistics . assignment : grantee will teach on both graduate and undergraduate levels and is to offer an advanced class in either contemporary theoretical linguistics ( theory of syntax and the syntax of logical form ) or contemporary philosophy of language ( theory of meaning , semantics of natural language , theory of predication , language and ontology ) . lecturing in english . 2 . italy : naples chair department of modern philology , university of naples . three months , between 3 / 1 / 97 and 5 / / 31 / 97 . specialty : american literature , american cultural studies , american language , or general linguistics . assignment : lecturing in english . occasional guest lectures at other cultural institutions in naples and elsewhere in italy .
",0
simultaneous prepositions and postpositions in pashto,"i ' m looking for analyses of nominal constructions ( in any language ) in which the np has _ both _ a preposition and a postposition . for example , pashto has constructions like the following , from herbert penzl , _ a grammar of pashto _ ( washington , d . c . : american council of learned societies , 1955 ) , p . 41 : we sarri te to man to ' to the man ' the preposition is sometimes optional , though the postposition is obligatory . since pashto is head-final ( the unmarked word order is sov ) , it 's tempting to take the postposition at face-value . however , there are some binding facts that suggest that a phrase containing an np + postposition is referential , and so it might be possible to analyze the postposition as some kind of case marker . i understand that there may be such a distinction between homophonous case markers and postpositions in japanese , for example . i 'd be grateful if anyone could suggest any articles that deal with these constructions . and if there are other linguists who are studying pashto , i 'd like to hear from you . thanks for any help ! taylor roberts < troberts @ mit . edu >",0
question : quantitative information,"hello , there is someone who knows where can i look for "" quantitative "" information on languages ( e . g . number of words , average number of senses per word , etc . ) . i ' m mostly interested in comparing italian and english but every kind of information you can give me will be appreciated . eventually i will post a summary . thanks in advance , - massimo .
",0
re : amharic,"i am doing independent study on the rift valley of africa . amharic is a dialect spoken in that area , primarily eithiopia . i am trying to assertain what certain words would be in that language . for example , - - lion - - death - - baby - - water - - man - - woman - - family . any help would be appreciated ed . wagner
",0
job announcement,"austrian research institute for artificial intelligence ( ofai ) vienna , austria research position in natural language engineering a research position is to be filled in the natural language processing research group from october 1995 . the position is associated with a project grant from the austrian science foundation and will be initially for 24 months . an extension is possible , depending on further funding . the project aims at the development of a prototype of a german concept-to - speech synthesizer , with special emphasis on the mapping of a prosodic notation into phonetic / acoustic parameters . the prosodic notation is based on pierrehumbert 's notation , the synthesizer to be used is a demisyllable synthesizer developed at vienna university of technology . the project will build on previous research performed at our institute . the candidate should have experience in the field of speech synthesis or a related area . knowledge of german would be favourable . salary will be in the range of 340 . 000 austrian schillings per year ( before taxes ) . according to local regulations , the salary depends on the formal prerequisite of a doctorate , otherwise the salary will be significantly lower . informal inquiries to harald trost ( harald @ ai . univie . ac . at ) or ernst buchberger ( ernst @ ai . univie . ac . at ) , tel . + 43 - 1-535 32 810 . ofai is the leading austrian research institute in ai and natural language engineering and a member of elsnet . more information about language engineering at ofai can be found at http : / / www . ai . univie . ac . at / oefai / nlu . html if you are interested , send an informal application * as soon as possible * by email to harald @ ai . univie . ac . at , including a short cv emphasizing previous relevant education and research experience . we will contact promising candidates , so that they can submit a formal application with all details later on . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ernst buchberger , dept . of med . cybernetics & artificial intelligence , university of vienna , freyung 6 , a-1010 vienna , austria and austrian research institute for artificial intelligence , vienna + 43 - 1-53532810 ( tel ) , + 43 - 1-5320652 ( fax ) , ernst @ ai . univie . ac . at
",0
yiddish orthography,"is there a standard orthography for yiddish in the roman alphabet ? what would the reference be ? reply to me privately , please . - thanks , charlotte linde
",0
recommendations on ling . font set for mac ?,"i am looking for recommendations on a linguistic font set for the macintosh . ideally i would like one that is not bitmapped , if such a thing exists . germanic characters are also a requirement . please e-mail me with any recommendations , as well as info on where to purchase the fonts . thanks ! lee forester forester @ smaug . cs . hope . edu
",0
q : german linguistic terms,"does anybody know the german for hissing fricatives alias sibilants vs . hushing fricatives alias shibilants ? and also the term if any for the hissing-hushing fricatives ( like the polish s-acute , z-acute ) which russians call 's vistjashche-shipjashchie ' and georgian sisin-shishina ? alexis manaster ramer
",0
esl curriculum,"after 20 years as a research scientist , i am starting a new career in esl . i am interested in developing ( or adapting ) a specialized course for foreign medical trainees in american medical schools and hospitals . i ' m also interested in esp courses for students in the sciences . i presently teach "" english for international graduate teaching assistants "" which is a very practical course to enhance the teaching assistants ' effectiveness in the classrom / lab . i would appreciate anyone sharing course description , syllabus , texts used , comments . . . thanks , gfridland @ utmem1 . utmem . edu
",0
question : norwegian,"to : linguist @ tamv1 . tamu . edu date sent : mon , 21 aug 1995 15 : 38 : 50 dear linguists , could someone help me to find examples representing the difference between the two official standard languages in norway ( nynorsk and bokmal ) . all the textbooks at our library are for bokmal only and i would like to understand the differences and similarities between the two languages . maybe someone could just translate the following sentences into nynorsk : jeg trodde han spilte fiolin . jeg sa en som hang pa veggen . thank you very much for your help ana deumert department of linguistics university of cape town south africa
",0
idioms,"content - length : 99 please send "" appalachian idioms "" info to this address . thanks ! curtis matthews acm4002 @ tntech . edu
",0
voyeur de tons,"could someone tell me what relatively cheap software for mac to use to see the tonal melodies ( or convert frequencies in curves ) in tone languages ? thanks .
",0
phrase identification,"dept of english , university of louisville , lou ky 40291 phone : 502 / 852-5901 an asian student has said that an american student has flamed him on the university 's e-mail system by calling him a "" vaginer shill "" . has anyone heard of this phrase ? what does it mean ? ( this spelling is exactly that used by the american student . ) karen a . mullen university of louisville internet : kamull01 @ ulkyvm . louisville . edu bitnet : kamull01 @ ulkyvm
",0
palindromes,"hi you all out there ! i am a total fan ( atic ) of palindromes , such as "" a man , a plan , a canal - panama "" or "" in girum imus nocte et consumimur igni "" - expressions which read from behind result either in the same message or , even more interesting , in new , other , however meaningful message . i assume there are many palindromes i do not know yet , so i would just want to ask any one of you : if you know of one or more palindrome ( s ) in any language , please write them to me via linguist , i will then make the results accessible to everybody . also if you know of books and / or articles citing palindromes , please write me ! ! ! and here is my absolute favorite , the best i know : "" nie fragt sie : ist gefegt ? sie ist gar fein "" ( source unknown ) ( she never asks : has the sweeping been done ? she is very refined . ) i would be thankful to receive as many as possible palindromes , thank you ! and if it is not in german , english , french or italian , please also add an english translation . . . "" koop ik ' n ei , dan nadie ' n kip ook "" ( when i buy an egg , then also a chicken ) so long , i am looking forward to many messages ! "" madam , i ' m adam "" manfred immler
",0
