dataset_key,file_name,assumed_label_raw,mapped_binary_label,notes
CEAS_08,CEAS_08.csv,spam,not_phish,Non-phishing spam/benchmark
Enron,Enron.csv,ham,not_phish,Legitimate ham corpus
Ling,Ling.csv,spam,not_phish,Non-phishing spam/benchmark
Nazario,Nazario.csv,phish,phish,Explicit phishing corpus
Nazario_5,Nazario_5.csv,phish,phish,Explicit phishing corpus
Nigerian_5,Nigerian_5.csv,phish,phish,Explicit phishing corpus
Nigerian_Fraud,Nigerian_Fraud.csv,phish,phish,Explicit phishing corpus
SpamAssasin,SpamAssasin.csv,spam,not_phish,Non-phishing spam/benchmark
TREC_05,TREC_05.csv,spam,not_phish,Non-phishing spam/benchmark
TREC_06,TREC_06.csv,spam,not_phish,Non-phishing spam/benchmark
TREC_07,TREC_07.csv,spam,not_phish,Non-phishing spam/benchmark
